"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\ramzy\projects\personal projects\marvomics\pages\404.js", "JavaScript", 10, 0, 2, 12
"c:\Users\ramzy\projects\personal projects\marvomics\pages\_app.js", "JavaScript", 8, 0, 3, 11
"c:\Users\ramzy\projects\personal projects\marvomics\pages\_document.js", "JavaScript", 17, 0, 2, 19
"c:\Users\ramzy\projects\personal projects\marvomics\pages\characters\[characterId].js", "JavaScript", 7, 0, 2, 9
"c:\Users\ramzy\projects\personal projects\marvomics\pages\characters\index.js", "JavaScript", 15, 0, 3, 18
"c:\Users\ramzy\projects\personal projects\marvomics\pages\comics\[comicId].js", "JavaScript", 7, 0, 2, 9
"c:\Users\ramzy\projects\personal projects\marvomics\pages\comics\index.js", "JavaScript", 15, 0, 3, 18
"c:\Users\ramzy\projects\personal projects\marvomics\pages\index.js", "JavaScript", 23, 0, 3, 26
"Total", "-", 102, 0, 20, 122
